City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
194,bestobe,76,KZ,1511027781,85,52.5,73.1,27.14,11.21
195,san patricio,20,MX,1511023800,66,19.22,-104.7,89.6,3.6
196,bujaru,40,BR,1511028000,66,-1.51,-48.04,86.0,11.41
197,omboue,48,GA,1511028041,100,-1.57,9.26,77.81,10.65
198,los llanos de aridane,75,ES,1511026200,73,28.66,-17.92,71.6,3.36
199,ust-kut,88,RU,1511028041,81,56.79,105.77,2.75,2.37
200,pokhara,0,NP,1511028042,79,28.23,83.98,46.94,2.37
201,saldanha,0,ZA,1511024400,68,-33.01,17.94,64.4,9.17
202,meulaboh,48,ID,1511028042,100,4.14,96.13,77.63,3.71
203,karratha,0,AU,1511028043,63,-20.74,116.85,71.6,8.63
204,samusu,48,CN,1511028043,57,41.43,128.03,3.52,7.4
205,holovyne,92,UA,1511028044,97,50.47,28.83,35.78,3.94
206,yellowknife,75,CA,1511024400,76,62.46,-114.35,-9.41,9.17
207,eureka,1,US,1511026500,93,40.8,-124.16,42.8,9.17
208,zhigansk,56,RU,1511027853,72,66.77,123.37,-16.29,6.96
209,taguatinga,64,BR,1511028045,81,-12.39,-46.57,82.98,4.5
210,pyapon,8,MM,1511028046,94,16.28,95.68,78.85,6.62
211,linqiong,40,CN,1511024400,76,30.42,103.46,55.4,4.47
212,haimen,40,CN,1511024400,77,23.19,116.61,66.2,8.95
213,nishihara,75,JP,1511024400,59,26.18,127.76,66.2,24.16
214,ampere,100,BR,1511028047,99,-25.92,-53.47,69.85,3.94
215,san juan,0,AR,1511028048,22,-31.54,-68.54,75.33,7.63
216,rio gallegos,40,AR,1511024400,37,-51.62,-69.22,50.0,38.03
217,lorengau,32,PG,1511028028,100,-2.02,147.27,83.62,6.96
218,korla,0,CN,1511028049,80,41.76,86.15,17.15,0.69
219,osmena,32,PH,1511028050,100,10.52,119.93,82.67,4.83
220,navahrudak,76,BY,1511028050,91,53.6,25.83,33.53,7.63
221,sol-iletsk,92,RU,1511028051,94,51.16,54.99,32.54,9.53
222,meadow lake,20,US,1511027520,17,34.8,-106.54,46.4,10.29
223,coihaique,40,CL,1511024400,51,-45.58,-72.07,59.0,10.29
224,menongue,44,AO,1511028052,49,-14.66,17.69,75.29,5.06
225,otofuke,36,JP,1511028052,81,42.99,143.2,14.27,3.04
226,teya,92,RU,1511028053,80,60.38,92.63,13.15,3.71
227,viedma,0,AR,1511027843,36,-40.81,-63.0,67.55,15.79
228,yumen,0,CN,1511028053,84,40.28,97.2,22.15,10.65
229,chany,76,RU,1511028054,96,55.31,76.76,27.41,12.21
230,meridian,1,US,1511026500,64,43.61,-116.39,39.2,8.05
231,mayumba,44,GA,1511027975,96,-3.43,10.66,77.72,8.52
232,malakal,8,SS,1511027756,61,9.53,31.66,80.92,3.38
233,sioux lookout,75,CA,1511025720,72,50.1,-91.92,17.6,8.05
234,birjand,0,IR,1511024400,17,32.87,59.22,41.0,6.93
235,arenapolis,76,BR,1511028056,83,-14.45,-56.85,82.98,9.86
236,mandalgovi,0,MN,1511028056,42,45.76,106.27,-8.42,2.93
237,palu,8,ID,1511028057,97,-0.89,119.87,78.8,3.15
238,cabo san lucas,5,MX,1511023980,20,22.89,-109.91,87.8,3.36
239,itacare,0,BR,1511028058,80,-14.28,-39.0,80.78,7.96
240,salinas,1,US,1511026500,81,36.68,-121.66,51.8,3.71
241,sacele,88,RO,1511028058,98,45.62,25.69,39.83,1.92
242,mufulira,24,ZM,1511028059,68,-12.55,28.24,71.29,7.29
243,rindge,1,US,1511024160,41,42.75,-72.01,44.6,5.82
244,ca mau,76,VN,1511028059,97,9.18,105.15,79.7,7.74
245,awjilah,0,LY,1511028060,48,29.11,21.29,57.38,7.4
246,sulangan,56,PH,1511028060,100,11.14,123.72,82.72,10.09
247,bambous virieux,40,MU,1511024400,78,-20.34,57.76,77.0,3.36
248,wisconsin rapids,90,US,1511026080,80,44.38,-89.82,39.2,13.87
249,san ignacio,8,BZ,1511027826,58,17.16,-89.07,84.02,3.27
250,wanning,88,CN,1511027884,100,18.8,110.4,78.26,21.05
251,ilulissat,20,GL,1511027400,54,69.22,-51.1,-0.41,1.12
252,namalenga,0,TZ,1511028062,63,-10.95,39.1,80.78,10.98
253,gladstone,88,AU,1511028063,100,-23.85,151.25,65.48,8.3
254,algiers,20,DZ,1511026200,82,36.75,3.04,59.0,6.93
255,victoria,75,CA,1511025300,93,48.43,-123.37,50.0,4.7
256,makokou,32,GA,1511028064,91,0.57,12.86,75.79,2.26
257,langsa,20,ID,1511028064,98,4.47,97.97,69.85,2.04
258,san mateo ixtatan,0,GT,1511028065,65,15.83,-91.48,69.22,2.26
259,campbell river,75,CA,1511025600,87,50.02,-125.24,46.4,10.29
260,tiksi,64,RU,1511028066,84,71.69,128.87,9.23,7.74
261,presidencia roque saenz pena,0,AR,1511028067,21,-26.79,-60.44,80.47,23.51
262,nizhniy kuranakh,44,RU,1511028067,68,58.84,125.49,-16.25,2.59
263,araouane,48,ML,1511027849,16,18.9,-3.53,69.71,4.16
264,zhigalovo,80,RU,1511027936,92,54.81,105.16,13.73,2.93
265,manaure,92,CO,1511028068,100,11.78,-72.44,74.35,7.07
266,aklavik,90,CA,1511024400,84,68.22,-135.01,5.0,8.05
267,berlevag,92,NO,1511028068,100,70.86,29.09,33.04,7.52
268,oranjemund,0,NA,1511028069,95,-28.55,16.43,60.71,21.5
269,vostok,24,RU,1511028069,70,46.49,135.88,-6.84,3.71
270,benjamin aceval,20,PY,1511024400,48,-24.97,-57.57,84.2,20.8
271,kayes,80,ML,1511028070,25,14.44,-11.43,86.0,4.94
272,kamenka,44,RU,1511028071,92,51.32,42.77,30.25,8.86
273,kuznechikha,80,RU,1511028071,93,57.22,42.33,32.63,11.32
274,lasa,0,IT,1511025600,72,46.62,10.7,37.4,3.36
275,ust-ilimsk,76,RU,1511028072,80,58.0,102.66,3.79,2.48
276,leshukonskoye,92,RU,1511028015,83,64.9,45.76,33.04,8.19
277,esperance,8,AU,1511028073,98,-33.87,121.9,59.77,3.27
278,isangel,12,VU,1511027972,100,-19.55,169.27,73.58,7.74
279,codrington,0,AU,1511027891,91,-38.27,141.97,61.83,7.63
280,bequimao,40,BR,1511024400,58,-2.45,-44.78,87.8,17.22
281,mahebourg,40,MU,1511024400,78,-20.41,57.7,77.0,3.36
282,sao filipe,0,CV,1511028074,92,14.9,-24.5,79.16,10.65
283,dubbo,75,AU,1511024400,87,-32.25,148.62,60.8,10.29
284,mangrol,0,IN,1511028075,67,21.12,70.12,76.64,18.25
285,berberati,0,CF,1511028076,81,4.26,15.79,76.64,2.04
286,fougeres,90,FR,1511026200,100,48.35,-1.2,48.2,4.7
287,monte alegre,0,BR,1511028077,40,-2.01,-54.07,95.09,4.61
288,padang,76,ID,1511028077,100,-0.95,100.35,75.74,3.71
289,la asuncion,0,VE,1511027947,93,11.03,-63.86,84.52,12.21
290,razdolnoye,0,RU,1511026200,71,43.55,131.92,5.0,4.47
291,guerrero negro,20,MX,1511027803,71,27.98,-114.06,72.77,3.83
292,tura,0,IN,1511028079,89,25.52,90.22,65.62,4.38
293,tevriz,76,RU,1511028079,90,57.51,72.4,21.74,4.72
294,haines junction,68,CA,1511028080,84,60.75,-137.51,0.36,2.37
295,barentsburg,40,DE,1511027400,86,52.62,8.8,39.2,11.41
296,kuantan,75,MY,1511024400,94,3.81,103.33,77.0,1.12
297,bubaque,0,GW,1511024400,48,11.28,-15.83,86.0,2.24
298,riberalta,75,BO,1511024400,59,-10.98,-66.1,89.6,9.17
299,tenenkou,0,ML,1511028082,28,14.46,-4.92,80.92,6.17
300,sovetskoye,12,RU,1511028082,55,52.29,85.41,6.62,3.15
301,tiruchchendur,0,IN,1511028083,91,8.48,78.12,78.22,2.93
302,port macquarie,90,AU,1511024400,100,-31.43,152.92,60.8,5.95
303,sosnovo-ozerskoye,80,RU,1511028083,68,52.52,111.54,5.05,9.31
304,urusha,12,RU,1511028084,63,54.05,122.9,-14.72,4.61
305,rawlins,1,US,1511025300,79,41.79,-107.24,23.0,19.46
306,lebu,0,CL,1511027792,98,-37.62,-73.65,55.49,19.26
307,klyuchi,88,RU,1511028085,96,52.27,79.17,32.54,7.74
308,port hedland,0,AU,1511024400,78,-20.32,118.57,77.0,11.41
309,imbituba,40,BR,1511024400,78,-28.24,-48.67,75.2,12.75
310,fukue,20,JP,1511028086,100,32.69,128.84,55.67,26.19
311,antofagasta,20,CL,1511024400,63,-23.65,-70.4,66.2,14.99
312,bethel,75,US,1511024160,49,41.37,-73.41,46.4,9.17
313,hilotongan,56,PH,1511028087,100,11.14,123.64,82.72,10.09
314,lavrentiya,92,RU,1511028088,100,65.58,-171.0,31.42,28.1
315,rock sound,88,BS,1511028089,100,24.9,-76.2,79.34,16.02
316,egvekinot,92,RU,1511028089,88,66.32,-179.17,21.92,8.52
317,ennis,75,IE,1511024400,93,52.84,-8.99,46.4,6.93
318,lopsmarka,0,NO,1511025600,69,67.31,14.45,33.8,19.46
319,shimoda,92,JP,1511028091,100,34.67,138.95,54.95,20.83
320,marsh harbour,32,BS,1511028091,100,26.54,-77.06,78.8,10.2
321,severo-kurilsk,92,RU,1511027813,100,50.68,156.12,37.13,34.92
322,lahat,88,ID,1511028092,95,-3.8,103.53,75.83,1.92
323,colares,0,PT,1511026200,55,38.8,-9.45,62.6,1.12
324,nesna,68,NO,1511028092,100,66.2,13.02,24.49,2.37
325,hamada,88,JP,1511028093,96,34.88,132.08,47.48,15.01
326,lata,0,PT,1511024400,67,40.16,-8.33,60.8,3.36
327,sentyabrskiy,68,RU,1511027794,87,60.75,72.86,21.38,8.97
328,lima,8,PE,1511028063,53,-12.04,-77.03,70.7,3.15
329,manyana,0,BW,1511028094,40,-23.4,21.72,68.58,2.71
330,geraldton,90,AU,1511024400,77,-28.77,114.6,64.4,6.93
331,namibe,0,AO,1511027797,100,-15.2,12.15,70.61,6.29
332,bilibino,92,RU,1511028096,83,68.05,166.44,14.72,1.92
333,ndioum,0,SN,1511024400,14,16.51,-14.65,89.6,4.7
334,nisko,90,PL,1511026200,100,50.52,22.14,37.4,4.7
335,touros,0,BR,1511027857,65,-5.2,-35.46,84.7,14.79
336,kisanga,20,TZ,1511024400,69,-7.44,37.7,80.6,11.41
337,rio branco,40,BR,1511024400,49,-9.97,-67.81,89.6,9.17
